Transaction ID,Account Id,Transaction Amount,Transaction Date,Transaction Type,Location,Device Id,IP Address,Merchant Id,Channel,Customer Age,Customer Occupation,Transaction Duration,Login Attempts,Account Balance,Previous Transaction Date
TRX00001,ACC088,111.79367314896339,2025-01-01 00:00:00,Payment,Jakarta,DEV1,192.168.1.1,M001,Mobile Banking,29,Pelajar,247,4,29757153.52293713,2024-12-25 00:00:00
TRX00002,ACC087,340.22593603318575,2025-01-01 10:00:00,Payment,Medan,DEV3,172.16.0.1,M002,Mobile Banking,45,Wiraswasta,29,4,29721166.167876076,2024-12-28 10:00:00
TRX00003,ACC059,141.10019059492683,2025-01-01 20:00:00,Payment,Jakarta,DEV4,10.0.0.1,M002,Internet Banking,23,PNS,242,3,8292829.706412301,2024-12-24 20:00:00
TRX00004,ACC072,35.67598328734758,2025-01-02 06:00:00,Payment,Jakarta,DEV1,172.16.0.1,M002,Internet Banking,37,PNS,230,3,6260832.329163727,2024-12-28 06:00:00
TRX00005,ACC054,40.21101952533877,2025-01-02 16:00:00,Payment,Bali,DEV4,10.0.0.1,M004,Mobile Banking,22,PNS,26,1,49004591.95452659,2024-12-26 16:00:00
TRX00006,ACC067,33.90598125627618,2025-01-03 02:00:00,Payment,Jakarta,DEV4,172.16.0.1,M004,ATM,40,Karyawan Swasta,98,1,19746586.565686572,2024-12-31 02:00:00
TRX00007,ACC051,636.7334345541625,2025-01-03 12:00:00,Payment,Jakarta,DEV1,192.168.1.1,M004,Internet Banking,26,Wiraswasta,205,4,11448344.26330411,2024-12-27 12:00:00
TRX00008,ACC097,58.78167057018277,2025-01-03 22:00:00,Payment,Bandung,DEV3,192.168.1.1,M004,Internet Banking,46,Karyawan Swasta,93,4,8649094.76827331,2024-12-26 22:00:00
TRX00009,ACC092,8.430408749915228,2025-01-04 08:00:00,Transfer,Medan,DEV4,172.16.0.1,M003,Mobile Banking,33,Pelajar,96,1,33413325.50780343,2024-12-30 08:00:00
TRX00010,ACC008,269.1470807520155,2025-01-04 18:00:00,Withdrawal,Bandung,DEV1,10.0.0.1,M001,ATM,63,Pelajar,163,1,30511320.336631212,2024-12-31 18:00:00
TRX00011,ACC034,,2025-01-05 04:00:00,Payment,Jakarta,DEV2,172.16.0.1,M004,Mobile Banking,39,Wiraswasta,237,3,32213250.93707213,2024-12-28 04:00:00
TRX00012,ACC035,,2025-01-05 14:00:00,Withdrawal,Bali,DEV2,10.0.0.1,M003,Internet Banking,25,PNS,273,2,4491500.772821467,2024-12-28 14:00:00
TRX00013,ACC096,,2025-01-06 00:00:00,Payment,Bandung,DEV2,172.16.0.1,M001,Internet Banking,37,Wiraswasta,232,3,44687375.716572,2025-01-03 00:00:00
TRX00014,ACC088,,2025-01-06 10:00:00,Payment,Bandung,DEV1,10.0.0.1,M004,Mobile Banking,68,Wiraswasta,130,1,19524393.20077151,2024-12-31 10:00:00
TRX00015,ACC078,,2025-01-06 20:00:00,Transfer,Surabaya,DEV2,192.168.1.1,M001,Mobile Banking,31,Wiraswasta,182,4,15737133.380874861,2025-01-01 20:00:00
TRX00016,ACC032,,2025-01-07 06:00:00,Deposit,Jakarta,DEV4,172.16.0.1,M004,ATM,56,Karyawan Swasta,13,1,23171836.217662185,2025-01-05 06:00:00
TRX00017,ACC046,,2025-01-07 16:00:00,Deposit,Bali,DEV2,192.168.1.1,M003,ATM,54,Pelajar,137,4,19564296.68080665,2024-12-30 16:00:00
TRX00018,ACC016,,2025-01-08 02:00:00,Transfer,Bandung,DEV2,192.168.1.1,M002,Internet Banking,67,Wiraswasta,119,4,43192492.45664338,2025-01-02 02:00:00
TRX00019,ACC068,,2025-01-08 12:00:00,Withdrawal,Bandung,DEV4,172.16.0.1,M002,ATM,51,Wiraswasta,46,4,46470122.66237482,2025-01-06 12:00:00
TRX00020,ACC037,,2025-01-08 22:00:00,Deposit,Bali,DEV2,172.16.0.1,M001,ATM,28,Wiraswasta,80,4,15242315.50083535,2025-01-03 22:00:00
